date,session_key,stop_duration,meeting_key,driver_number,lap_number,lane_duration,pit_duration
2023-06-02T11:30:03.731000+00:00,9095,,1211,14,1,,
2023-06-02T11:30:07.637000+00:00,9095,,1211,11,1,,
2023-06-02T11:30:10.059000+00:00,9095,,1211,18,1,,
2023-06-02T11:30:11.903000+00:00,9095,,1211,21,1,,
2023-06-02T11:30:14.028000+00:00,9095,,1211,31,1,,
2023-06-02T11:30:15.575000+00:00,9095,,1211,55,1,,
2023-06-02T11:30:16.606000+00:00,9095,,1211,63,1,,
2023-06-02T11:30:19.121000+00:00,9095,,1211,77,1,,
2023-06-02T11:30:20.887000+00:00,9095,,1211,22,1,,
2023-06-02T11:30:23.278000+00:00,9095,,1211,2,1,,
2023-06-02T11:30:27.496000+00:00,9095,,1211,10,1,,
2023-06-02T11:30:34.043000+00:00,9095,,1211,24,1,,
2023-06-02T11:30:36.637000+00:00,9095,,1211,20,1,,
2023-06-02T11:30:46.761000+00:00,9095,,1211,81,1,,
2023-06-02T11:30:50.933000+00:00,9095,,1211,16,1,,
2023-06-02T11:30:54.043000+00:00,9095,,1211,44,1,,
2023-06-02T11:31:01.808000+00:00,9095,,1211,4,1,,
2023-06-02T11:31:16.933000+00:00,9095,,1211,1,1,,
2023-06-02T11:31:24.089000+00:00,9095,,1211,23,1,,
2023-06-02T11:32:34.728000+00:00,9095,,1211,27,1,,
2023-06-02T11:33:46.930000+00:00,9095,,1211,14,3,35.3,35.3
2023-06-02T11:35:42.475000+00:00,9095,,1211,18,4,40.8,40.8
2023-06-02T11:36:30.849000+00:00,9095,,1211,21,3,155.2,155.2
2023-06-02T11:37:01.583000+00:00,9095,,1211,2,2,277.0,277.0
2023-06-02T11:37:14.911000+00:00,9095,,1211,16,5,27.6,27.6
2023-06-02T11:38:29.675000+00:00,9095,,1211,81,2,343.6,343.6
2023-06-02T11:38:45.487000+00:00,9095,,1211,11,6,24.9,24.9
2023-06-02T11:38:52.971000+00:00,9095,,1211,20,6,47.4,47.4
2023-06-02T11:39:12.221000+00:00,9095,,1211,4,2,381.5,381.5
2023-06-02T11:39:27.565000+00:00,9095,,1211,1,6,23.5,23.5
2023-06-02T11:40:30.892000+00:00,9095,,1211,27,6,40.8,40.8
2023-06-02T11:42:01.109000+00:00,9095,,1211,77,3,517.4,517.4
2023-06-02T11:42:31.499000+00:00,9095,,1211,18,5,298.0,298.0
2023-06-02T11:44:30.700000+00:00,9095,,1211,23,9,25.1,25.1
2023-06-02T11:44:35.747000+00:00,9095,,1211,24,3,623.1,623.1
2023-06-02T11:45:19.886000+00:00,9095,,1211,22,8,245.8,245.8
2023-06-02T11:46:04.573000+00:00,9095,,1211,16,11,23.1,23.1
2023-06-02T11:46:46.322000+00:00,9095,,1211,55,12,23.0,23.0
2023-06-02T11:47:17.353000+00:00,9095,,1211,21,5,439.9,439.9
2023-06-02T11:47:42.243000+00:00,9095,,1211,2,9,24.9,24.9
2023-06-02T11:48:07.633000+00:00,9095,,1211,4,3,442.9,442.9
2023-06-02T11:48:09.118000+00:00,9095,,1211,18,8,37.9,37.9
2023-06-02T11:48:16.852000+00:00,9095,,1211,63,9,381.4,381.4
2023-06-02T11:48:30.789000+00:00,9095,,1211,81,3,493.4,493.4
2023-06-02T11:49:32.132000+00:00,9095,,1211,44,9,406.5,406.5
2023-06-02T11:50:06.022000+00:00,9095,,1211,14,6,691.0,691.0
2023-06-02T11:50:55.709000+00:00,9095,,1211,10,8,621.4,621.4
2023-06-02T11:51:06.771000+00:00,9095,,1211,31,10,357.9,357.9
2023-06-02T11:52:23.176000+00:00,9095,,1211,21,8,31.1,31.1
2023-06-02T11:53:37.034000+00:00,9095,,1211,18,11,34.1,34.1
2023-06-02T11:54:55.704000+00:00,9095,,1211,16,16,16.7,16.7
2023-06-02T11:57:15.577000+00:00,9095,,1211,11,13,432.8,432.8
2023-06-02T11:58:09.107000+00:00,9095,,1211,1,12,525.5,525.5
2023-06-02T11:58:39.294000+00:00,9095,,1211,18,12,189.2,189.2
2023-06-02T11:59:17.465000+00:00,9095,,1211,20,11,796.1,796.1
2023-06-02T12:00:14.823000+00:00,9095,,1211,27,11,750.0,750.0
2023-06-02T12:03:58.460000+00:00,9095,,1211,22,13,657.3,657.3
2023-06-02T12:04:07.147000+00:00,9095,,1211,63,17,268.9,268.9
2023-06-02T12:05:15.099000+00:00,9095,,1211,23,16,578.4,578.4
2023-06-02T12:06:24.301000+00:00,9095,,1211,44,17,333.2,333.2
2023-06-02T12:07:19.597000+00:00,9095,,1211,2,16,544.3,544.3
2023-06-02T12:07:29.378000+00:00,9095,,1211,77,12,702.5,702.5
2023-06-02T12:07:32.425000+00:00,9095,,1211,24,14,376.1,376.1
2023-06-02T12:09:03.970000+00:00,9095,,1211,1,15,387.1,387.1
2023-06-02T12:09:09.782000+00:00,9095,,1211,81,10,575.4,575.4
2023-06-02T12:10:35.718000+00:00,9095,,1211,23,19,26.8,26.8
2023-06-02T12:10:47.171000+00:00,9095,,1211,4,10,675.0,675.0
2023-06-02T12:11:24.014000+00:00,9095,,1211,55,17,999.9,999.9
2023-06-02T12:12:49.669000+00:00,9095,,1211,24,17,18.0,18.0
2023-06-02T12:13:11.684000+00:00,9095,,1211,16,19,797.7,797.7
2023-06-02T12:13:16.247000+00:00,9095,,1211,18,13,762.2,762.2
2023-06-02T12:13:47.074000+00:00,9095,,1211,11,19,427.8,427.8
2023-06-02T12:13:50.949000+00:00,9095,,1211,21,15,649.6,649.6
2023-06-02T12:17:24.445000+00:00,9095,,1211,81,15,22.3,22.3
2023-06-02T12:18:09.913000+00:00,9095,,1211,31,19,714.0,714.0
2023-06-02T12:18:33.444000+00:00,9095,,1211,10,18,719.2,719.2
2023-06-02T12:18:51.600000+00:00,9095,,1211,27,18,426.2,426.2
2023-06-02T12:18:54.272000+00:00,9095,,1211,22,19,315.9,315.9
2023-06-02T12:19:07.397000+00:00,9095,,1211,63,24,341.2,341.2
2023-06-02T12:19:17.850000+00:00,9095,,1211,4,15,24.9,24.9
2023-06-02T12:21:20.441000+00:00,9095,,1211,2,22,268.7,268.7
2023-06-02T12:21:26.207000+00:00,9095,,1211,18,18,41.2,41.2
2023-06-02T12:21:40.738000+00:00,9095,,1211,14,18,801.3,801.3
2023-06-02T12:23:01.221000+00:00,9095,,1211,20,17,803.8,803.8
2023-06-02T12:23:11.736000+00:00,9095,,1211,23,22,455.6,455.6
2023-06-02T12:23:33.626000+00:00,9095,,1211,55,21,354.0,354.0
2023-06-02T12:23:35.657000+00:00,9095,,1211,44,24,429.5,429.5
2023-06-02T12:23:42.314000+00:00,9095,,1211,77,18,389.2,389.2
2023-06-02T12:23:54.001000+00:00,9095,,1211,10,21,16.6,16.6
2023-06-02T12:24:19.438000+00:00,9095,,1211,63,27,24.9,24.9
2023-06-02T12:24:50.859000+00:00,9095,,1211,21,22,19.9,19.9
2023-06-02T12:25:08.031000+00:00,9095,,1211,16,23,331.4,331.4
2023-06-02T12:25:39.561000+00:00,9095,,1211,24,20,469.5,469.5
2023-06-02T12:28:37.699000+00:00,9095,,1211,1,29,22.7,22.7
2023-06-02T12:29:31.417000+00:00,9095,,1211,11,30,21.8,21.8
2023-06-02T12:29:36.635000+00:00,9095,,1211,63,30,30.2,30.2
2023-06-02T15:00:04.733000+00:00,9096,,1211,14,1,,
2023-06-02T15:00:06.545000+00:00,9096,,1211,21,1,,
2023-06-02T15:00:28.951000+00:00,9096,,1211,77,1,,
2023-06-02T15:00:34.014000+00:00,9096,,1211,24,1,,
2023-06-02T15:00:35.904000+00:00,9096,,1211,31,1,,
2023-06-02T15:00:41.185000+00:00,9096,,1211,22,1,,
2023-06-02T15:00:43.810000+00:00,9096,,1211,81,1,,
